warning: No library characterized for (process = 1.00 voltage = 0.85 temperature = -40.00) can be found in the database for power domain '/PD_TOP'  [NL-174]
Report Power (instances with prefix '*' are included in total) : 
-----+----------+--------------------+---------------------+-------------------+-----------------
     | Instance | Internal Power(uw) | Switching Power(uw) | Leakage Power(uw) | Total Power(uw) 
-----+----------+--------------------+---------------------+-------------------+-----------------
1    |*sub1_i_17|            0.339100|             3.852713|           0.002775|         4.194588
2    |*sub1_i_18|            0.340485|             7.605330|           0.002775|         7.948590
3    |*sub1_i_19|            0.341791|             5.887071|           0.002775|         6.231637
4    |*sub1_i_20|            0.341535|             5.693367|           0.002775|         6.037677
5    |*sub1_i_21|            0.341535|             5.693367|           0.002775|         6.037677
6    |*sub1_i_22|            0.341535|             5.693367|           0.002775|         6.037677
7    |*sub1_i_23|            0.341535|             5.693367|           0.002775|         6.037677
8    |*sub1_i_24|            0.341535|             5.693367|           0.002775|         6.037677
9    |*sub1_i_25|            0.341535|             5.693367|           0.002775|         6.037677
10   |*sub1_i_26|            0.341535|             5.693367|           0.002775|         6.037677
11   |*sub1_i_27|            0.341535|             5.693367|           0.002775|         6.037677
12   |*sub1_i_28|            0.341535|             5.693367|           0.002775|         6.037677
13   |*sub1_i_29|            0.341535|             5.693367|           0.002775|         6.037677
14   |*sub1_i_30|            0.341535|             5.693367|           0.002775|         6.037677
15   |*sub1_i_31|            0.341017|             5.301938|           0.002775|         5.645730
16   |*sub1_i_32|            0.337634|             8.465148|           0.002775|         8.805557
17   |*sub3_i_17|            0.340227|             1.919708|           0.002775|         2.262710
18   |*sub3_i_18|            0.339094|             2.914965|           0.002775|         3.256835
19   |*sub3_i_19|            0.339076|             2.931638|           0.002775|         3.273489
20   |*sub3_i_20|            0.339119|             2.893466|           0.002775|         3.235360
21   |*sub3_i_21|            0.339076|             2.931638|           0.002775|         3.273489
22   |*sub3_i_22|            0.339119|             2.893466|           0.002775|         3.235360
23   |*sub3_i_23|            0.339076|             2.931638|           0.002775|         3.273489
24   |*sub3_i_24|            0.339119|             2.893466|           0.002775|         3.235360
25   |*sub3_i_25|            0.339076|             2.931638|           0.002775|         3.273489
26   |*sub3_i_26|            0.339119|             2.893466|           0.002775|         3.235360
27   |*sub3_i_27|            0.339076|             2.931638|           0.002775|         3.273489
28   |*sub3_i_28|            0.339119|             2.893466|           0.002775|         3.235360
29   |*sub3_i_29|            0.339076|             2.931638|           0.002775|         3.273489
30   |*sub3_i_30|            0.339119|             2.893466|           0.002775|         3.235360
31   |*sub3_i_31|            0.339312|             2.723540|           0.002775|         3.065628
32   |*sub3_i_32|            0.336303|             1.492517|           0.002775|         1.831596
33   |*fixedDiv |         1838.190063|          6025.125488|          17.254868|      7880.570312
34   |*mul      |          675.921509|          1350.381592|           6.058721|      2032.361816
35   |*i_0_0_0  |            0.000916|             0.005647|           0.005475|         0.012038
36   |*i_0_0_1  |            0.000969|             0.001863|           0.007124|         0.009957
37   |*i_0_0_2  |            0.771740|             0.653456|           0.013242|         1.438438
38   |*i_0_0_3  |            0.809360|             0.658684|           0.013242|         1.481285
39   |*i_0_0_4  |            0.002045|             0.003119|           0.005333|         0.010498
40   |*i_0_0_5  |            0.002055|             0.003462|           0.005012|         0.010530
41   |*i_0_0_6  |            0.212002|             0.651123|           0.002775|         0.865901
42   |*i_0_0_7  |            0.715712|             3.582466|           0.013242|         4.311419
43   |*i_0_0_8  |            0.335032|             4.475018|           0.002775|         4.812826
